product_id,name,description,content_url,price,release_date,1,site_url
178,우성레포츠 아리프 안티버스트 임산부 짐볼 55cm,"크기 : 55cm특징 : 터짐방지, 미끄럼방지색상 : 핑크, 라임",https://shopping-phinf.pstatic.net/main_2077207/20772073985.20211208231003.jpg?type=f640,9900,2019-08-01,9,https://search.shopping.naver.com/catalog/20772073985
179,신신상사 스타스포츠 마사지 짐볼 EB220 65cm,종류 : 짐볼형태 : 원형크기 : 65cm특징 : 마사지돌기색상 : 블루,https://shopping-phinf.pstatic.net/main_3299966/32999669619.20220617150052.jpg?type=f640,8580,2022-06-01,9,https://search.shopping.naver.com/catalog/32999669619
180,휠라 짐볼 65cm,종류 : 짐볼형태 : 원형크기 : 65cm특징 : 터짐방지색상 : 네이비,https://shopping-phinf.pstatic.net/main_3309222/33092228619.20220623181058.jpg?type=f640,14610,2022-06-01,9,https://search.shopping.naver.com/catalog/33092228619
181,렛츠핏 루프밴드 5종세트 저항 고무 탄력 밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_3043431/30434314892.20230119233359.jpg?type=f60,4900,2022-01-01,10,https://search.shopping.naver.com/catalog/30434314892
182,이고진 더쎈 풀업밴드 20832 탄력밴드 퍼플블랙,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/20221205_15_0/1be3b5a4-f258-4324-8924-522fd30d6557/-1282227720.jpg,9340,2020-04-01,10,https://search.shopping.naver.com/catalog/22377763088
183,이고진 더쎈 풀업밴드 20822 블랙 탄력밴드,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_2660506/26605064384.20230503095911.jpg?type=f640,6260,2021-04-01,10,https://search.shopping.naver.com/catalog/26605064384
184,이고진 더쎈 풀업밴드 3종세트 치닝디핑 딥스 탄력밴드,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_3567602/35676028671.20230429222256.jpg?type=f60,20290,2022-11-01,10,https://search.shopping.naver.com/catalog/35676028671
185,세라밴드 - 튜빙밴드 2m 어린이노인추천 탄력밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_3915553/39155538318.20230405093915.jpg?type=f60,9900,2023-04-01,10,https://search.shopping.naver.com/catalog/39155538318
186,이고진 도어앵커 스트레칭밴드 홈트니스 탄력밴드,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/20230214_11_27/714399cd-6815-4729-8503-ee57bd320ad4/560413287.jpg,4390,2022-12-01,10,https://search.shopping.naver.com/catalog/36236057176
187,루프밴드 세트 그린 탄력밴드 블랙롤,탄력 밴드,https://shopping-phinf.pstatic.net/main_2662913/26629134011.20220331052459.jpg?type=f60,23140,2021-04-01,10,https://search.shopping.naver.com/catalog/26629134011
188,에코리즈 탄력밴드 헬스밴드 홈트레이닝 일반형,탄력 밴드,https://shopping-phinf.pstatic.net/main_3111010/31110103230.20220301012451.jpg?type=f640,2000,2022-03-01,10,https://search.shopping.naver.com/catalog/31110103230
189,나노소프트 BFIT 비핏 풀업밴드 턱걸이 철봉운동 라텍스 저항 탄력밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_2853368/28533680266.20221027050401.jpg?type=f60,9800,2021-08-01,10,https://search.shopping.naver.com/catalog/28533680266
190,세라밴드 루프밴드 단계별 탄력밴드 색상별 4단계 구성,‘세라밴드’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_3074500/30745002525.20221118220941.jpg?type=f60,9450,2022-01-01,10,https://search.shopping.naver.com/catalog/30745002525
191,이고진 더쎈 풀업밴드 탄력밴드 그린,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_1027109/10271096686.20201104170825.jpg?type=f640,12580,2016-08-01,10,https://search.shopping.naver.com/catalog/10271096686
192,이고진 더쎈 풀업밴드 레드 탄력밴드,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_1027111/10271115330.20201103172617.jpg?type=f640,5270,2016-08-01,10,https://search.shopping.naver.com/catalog/10271115330
193,스포밴드 테라 탄력 밴드 레벨 1 6단계 선택가능,탄력 밴드,https://shopping-phinf.pstatic.net/main_3604314/36043140059.20221123121749.jpg?type=f640,14890,2022-11-01,10,https://search.shopping.naver.com/catalog/36043140059
194,고무밴드 운동밴드 요가밴드 스트레칭밴드 탄력밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_3069730/30697301873.20220127043219.jpg?type=f640,5000,2022-01-01,10,https://search.shopping.naver.com/catalog/30697301873
195,렛츠핏 루프밴드 5종세트 저항 고무 탄력 밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_3824128/38241280459.20230512094323.jpg?type=f60,6668,2023-02-01,10,https://search.shopping.naver.com/catalog/38241280459
196,이고진 더쎈 풀업밴드 20806 옐로우 탄력밴드,‘이고진’ 브랜드스토어바로가기브랜드스토어에서 더 많은 브랜드 제품과 브랜드 행사 소식을,https://shopping-phinf.pstatic.net/main_3574061/35740611281.20230503095936.jpg?type=f640,1050,2022-11-01,10,https://search.shopping.naver.com/catalog/35740611281
197,스쿼트 운동 홈트 라텍스 고무 탄력밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_3807828/38078280855.20230330133840.jpg?type=f60,760,2023-02-01,10,https://search.shopping.naver.com/catalog/38078280855
198,라잇백 힙업 스쿼트 탄력밴드,탄력 밴드,https://shopping-phinf.pstatic.net/main_3594807/35948077225.20221119052751.jpg?type=f640,19300,2022-11-01,10,https://search.shopping.naver.com/catalog/35948077225
199,튜닝밴드 강도조절형 탄력밴드 헬스밴드 헬스용품 포스트레이딩,탄력 밴드,https://shopping-phinf.pstatic.net/main_1822925/18229251667.20190321220829.jpg?type=f640,7340,2019-03-01,10,https://search.shopping.naver.com/catalog/18229251667
